town_name,DIST_NAME
Seabrook,Triton
Mashpee Neck,Mashpee
Hanson,Whitman-Hanson
South Lancaster,Nashoba
Beverly,Beverly
North Scituate,Scituate
Salisbury,Triton
Dover,Dover-Sherborn
Northfield,Pioneer Valley
Pinehurst,Billerica
Cochituate,Wayland
East Falmouth,Falmouth
Teaticket,Falmouth
East Harwich,Monomoy Regional School District
Harwich Center,Monomoy Regional School District
Harwich Port,Monomoy Regional School District
Northwest Harwich,Monomoy Regional School District
North Eastham,Nauset
North Plymouth,Plymouth
Huntington,Gateway
Somerset,Somerset Berkley Regional School District
Ocean Grove,Swansea
Bliss Corner,Dartmouth
Whitinsville,Northbridge
East Brookfield,North Brookfield
Smith Mills,Dartmouth
West Yarmouth,Dennis-Yarmouth
Yarmouth Port,Dennis-Yarmouth
South Yarmouth,Dennis-Yarmouth
Hanscom AFB,Bedford
Devens,Harvard
North Lakeville,Freetown-Lakeville
Townsend,North Middlesex
Holland,Tantasqua
Williamstown,Mount Greylock
Orleans,Nauset
Provincetown,Provincetown
Lenox Dale,Lenox
West Concord,Concord-Carlisle
Rowley,Pentucket
Boxford,Masconomet
Topsfield,Masconomet
Weweantic,Wareham
Marion Center,Old Rochester
Mattapoisett Center,Old Rochester
East Dennis,Dennis-Yarmouth
South Dennis,Dennis-Yarmouth
East Sandwich,Sandwich
Buzzards Bay,Bourne
Monument Beach,Bourne
Pocasset,Bourne
Dennis Port,Dennis-Yarmouth
West Dennis,Dennis-Yarmouth
Forestdale,Sandwich
Sagamore,Bourne
East Pepperell,North Middlesex
Pepperell,North Middlesex
Millers Falls,Gill-Montague
Wilbraham,Hampden-Wilbraham
Cheshire,Hoosac Valley Regional
Housatonic,Berkshire Hills
North Pembroke,Pembroke
Onset,Wareham
West Wareham,Wareham
White Island Shores,Wareham
Raynham Center,Bridgewater-Raynham
North Seekonk,Seekonk
North Westport,Westport
Sturbridge,Tantasqua
West Warren,Quaboag Regional
Warren,Ware
Brookfield,North Brookfield
Fiskdale,Tantasqua
Shirley,Ayer Shirley School District
The Pinehills,Plymouth Public Schools
Russell,Gateway
Marshfield Hills,Marshfield
Ocean Bluff-Brant Rock,Marshfield
Cordaville,Northboro-Southboro
Great Barrington,Berkshire Hills
Turners Falls,Gill-Montague
South Deerfield,Frontier
Deerfield,Frontier
Nahant,Nahant
North Falmouth,Falmouth
Chatham,Monomoy Regional School District
West Chatham,Monomoy Regional School District
West Falmouth,Falmouth
Monomoscoy Island,Mashpee
Popponesset,Mashpee
Seconsett Island,Mashpee
New Seabury,Mashpee
Popponesset Island,Mashpee
Brewster,Nauset
Woods Hole,Falmouth
Essex,Manchester Essex Regional
South Duxbury,Duxbury
Cedar Crest,Marshfield
South Ashburnham,Ashburnham-Westminster
Rutland,Wachusett
Upton,Mendon-Upton
Vineyard Haven,Martha's Vineyard
Baldwinville,Narragansett
Shelburne Falls,Mohawk Trail
