town_name,DIST_NAME,score
Athol,Ashland,50
Acushnet Center,Ashburnham-Westminster,54
Millis-Clicquot,Millis,57
Dennis,Dennis-Yarmouth,57
Ayer,Palmer,60
Adams,North Adams,62
Hampden,Hadley,62
Ashburnham,Ashburnham-Westminster,62
Norton Center,Norton,63
Monson Center,Monson,63
Wareham Center,Wareham,67
Whitman,Whitman-Hanson,67
Amherst Town,Watertown,67
Groton,Brockton,71
Palmer Town,Palmer,71
Agawam Town,Agawam,71
Littleton Common,Littleton,72
Mansfield Center,Mansfield,72
Northborough,Foxborough,73
Methuen Town,Methuen,74
Kingston,Abington,75
Weymouth Town,Weymouth,76
Winthrop Town,Winthrop,76
Randolph Town,Randolph,76
Amesbury Town,Amesbury,76
Franklin Town,Franklin,76
Watertown Town,Watertown,78
Braintree Town,Braintree,78
Middleborough Center,Middleborough,79
Barnstable Town,Barnstable,80
Easthampton Town,Easthampton,81
Southbridge Town,Southbridge,81
Bridgewater Town,West Bridgewater,81
Hamilton,Milton,86
West Springfield Town,West Springfield,86
North Attleborough Town,North Attleborough,88
Ware,Ware,100
Pembroke,Pembroke,100
Westfield,Westfield,100
Peabody,Peabody,100
Westford,Westford,100
Oxford,Oxford,100
Orange,Orange,100
Oak Bluffs,Oak Bluffs,100
Weston,Weston,100
Norwood,Norwood,100
Westport,Westport,100
Northbridge,Northbridge,100
Westwood,Westwood,100
Northampton,Northampton,100
North Brookfield,North Brookfield,100
Wilmington,Wilmington,100
North Adams,North Adams,100
Newton,Newton,100
Newburyport,Newburyport,100
New Bedford,New Bedford,100
Needham,Needham,100
Nantucket,Nantucket,100
Winchendon,Winchendon,100
Milton,Milton,100
Winchester,Winchester,100
Pittsfield,Pittsfield,100
Plymouth,Plymouth,100
Westborough,Westborough,100
Wayland,Wayland,100
Webster,Webster,100
Waltham,Waltham,100
Walpole,Walpole,100
Wellesley,Wellesley,100
Wakefield,Wakefield,100
Uxbridge,Uxbridge,100
Tewksbury,Tewksbury,100
Taunton,Taunton,100
Swampscott,Swampscott,100
Stoughton,Stoughton,100
Stoneham,Stoneham,100
West Boylston,West Boylston,100
Quincy,Quincy,100
Springfield,Springfield,100
South Hadley,South Hadley,100
Somerville,Somerville,100
Shrewsbury,Shrewsbury,100
Sharon,Sharon,100
Scituate,Scituate,100
Saugus,Saugus,100
Sandwich,Sandwich,100
Salem,Salem,100
Rockport,Rockport,100
Rockland,Rockland,100
Revere,Revere,100
Reading,Reading,100
West Bridgewater,West Bridgewater,100
Abington,Abington,100
Marlborough,Marlborough,100
Melrose,Melrose,100
Clinton,Clinton,100
Danvers,Danvers,100
Dedham,Dedham,100
Duxbury,Duxbury,100
East Longmeadow,East Longmeadow,100
Everett,Everett,100
Chicopee,Chicopee,100
Fairhaven,Fairhaven,100
Falmouth,Falmouth,100
Fitchburg,Fitchburg,100
Foxborough,Foxborough,100
Framingham,Framingham,100
Gardner,Gardner,100
Gloucester,Gloucester,100
Fall River,Fall River,100
Granby,Granby,100
Chelsea,Chelsea,100
Burlington,Burlington,100
Andover,Andover,100
Arlington,Arlington,100
Ashland,Ashland,100
Attleboro,Attleboro,100
Auburn,Auburn,100
Avon,Avon,100
Cambridge,Cambridge,100
Bedford,Bedford,100
Bellingham,Bellingham,100
Belmont,Belmont,100
Boston,Boston,100
Bourne,Bourne,100
Brockton,Brockton,100
Brookline,Brookline,100
Belchertown,Belchertown,100
Milford,Milford,100
Greenfield,Greenfield,100
Hampshire,Hampshire,100
Longmeadow,Longmeadow,100
Lowell,Lowell,100
Lunenburg,Lunenburg,100
Lynn,Lynn,100
Lynnfield,Lynnfield,100
Malden,Malden,100
Lexington,Lexington,100
Marblehead,Marblehead,100
Marshfield,Marshfield,100
Mashpee,Mashpee,100
Maynard,Maynard,100
Medfield,Medfield,100
Medford,Medford,100
Medway,Medway,100
Woburn,Woburn,100
Hadley,Hadley,100
Leominster,Leominster,100
Lee,Lee,100
Hanover,Hanover,100
Harvard,Harvard,100
Hatfield,Hatfield,100
Haverhill,Haverhill,100
Hingham,Hingham,100
Holbrook,Holbrook,100
Lenox,Lenox,100
Holliston,Holliston,100
Hopedale,Hopedale,100
Hopkinton,Hopkinton,100
Hudson,Hudson,100
Hull,Hull,100
Ipswich,Ipswich,100
Lawrence,Lawrence,100
Holyoke,Holyoke,100
Worcester,Worcester,100
