town_name,DIST_NAME,score,,,,,,
Abington,Abington,100,,,,,,
Acushnet Center,New Bedford,54,,,,,,
Adams,North Adams,62,,,,,,
Agawam Town,Agawam,71,,,,,,
Amesbury Town,Amesbury,76,,,,,,
Amherst Town,Amherst-Pelham,67,,,,,,
Andover,Andover,100,,,,,,
Arlington,Arlington,100,,,,,,
Ashburnham,Ashburnham-Westminster,62,,,,,,
Ashland,Ashland,100,,,,,,
Athol,Athol-Royalston,50,,,,,,
Attleboro,Attleboro,100,,,,,,
Auburn,Auburn,100,,,,,,
Avon,Avon,100,,,,,,
Ayer,Ayer Shirley School District,60,,,,,,
Barnstable Town,Barnstable,80,,,,,,
Bedford,Bedford,100,,,,,,
Belchertown,Belchertown,100,,,,,,
Bellingham,Bellingham,100,,,,,,
Belmont,Belmont,100,,,,,,
Boston,Boston,100,,,,,,
Bourne,Bourne,100,,,,,,
Braintree Town,Braintree,78,,,,,,
Bridgewater Town,West Bridgewater,81,,,,,,
Brockton,Brockton,100,,,,,,
Brookline,Brookline,100,,,,,,
Burlington,Burlington,100,,,,,,
Cambridge,Cambridge,100,,,,,,
Chelsea,Chelsea,100,,,,,,
Chicopee,Chicopee,100,,,,,,
Clinton,Clinton,100,,,,,,
Danvers,Danvers,100,,,,,,Spencer-E Brookfield
Dedham,Dedham,100,,,,,,
Dennis,Dennis-Yarmouth,57,,,,,,
Duxbury,Duxbury,100,,,,,,
East Longmeadow,East Longmeadow,100,,,,,,
Easthampton Town,Easthampton,81,,,,,,
Everett,Everett,100,,,,,,
Fairhaven,Fairhaven,100,,,,,,
Fall River,Fall River,100,,,,,,
Falmouth,Falmouth,100,,,,,,
Fitchburg,Fitchburg,100,,,,,,
Foxborough,Foxborough,100,,,,,,
Framingham,Framingham,100,,,,,,
Franklin Town,Franklin,76,,,,,,
Gardner,Gardner,100,,,,,,
Gloucester,Gloucester,100,,,,,,
Granby,Granby,100,,,,,,
Greenfield,Greenfield,100,,,,,,
Groton,Groton-Dunstable,71,,,,,,
Hadley,Hadley,100,,,,,,
Hamilton,Milton,86,,,,,,
Hampden,Hampden-Wilbraham,62,,,,,,
Hampshire,Hampshire,100,,,,,,
Hanover,Hanover,100,,,,,,
Harvard,Harvard,100,,,,,,
Hatfield,Hatfield,100,,,,,,
Haverhill,Haverhill,100,,,,,,
Hingham,Hingham,100,,,,,,
Holbrook,Holbrook,100,,,,,,
Holliston,Holliston,100,,,,,,
Holyoke,Holyoke,100,,,,,,
Hopedale,Hopedale,100,,,,,,
Hopkinton,Hopkinton,100,,,,,,
Hudson,Hudson,100,,,,,,
Hull,Hull,100,,,,,,
Ipswich,Ipswich,100,,,,,,
Kingston,Silver Lake,75,,,,,,
Lawrence,Lawrence,100,,,,,,
Lee,Lee,100,,,,,,
Lenox,Lenox,100,,,,,,
Leominster,Leominster,100,,,,,,
Lexington,Lexington,100,,,,,,
Littleton Common,Littleton,72,,,,,,
Longmeadow,Longmeadow,100,,,,,,
Lowell,Lowell,100,,,,,,
Lunenburg,Lunenburg,100,,,,,,
Lynn,Lynn,100,,,,,,
Lynnfield,Lynnfield,100,,,,,,
Malden,Malden,100,,,,,,
Mansfield Center,Mansfield,72,,,,,,
Marblehead,Marblehead,100,,,,,,
Marlborough,Marlborough,100,,,,,,
Marshfield,Marshfield,100,,,,,,
Mashpee,Mashpee,100,,,,,,
Maynard,Maynard,100,,,,,,
Medfield,Medfield,100,,,,,,
Medford,Medford,100,,,,,,
Medway,Medway,100,,,,,,
Melrose,Melrose,100,,,,,,
