town_name,region_name
Abington,Abington
Acton,Acton
Acushnet,Acushnet
Adams,Adams
Agawam Town,Agawam
Amesbury Town,Amesbury
Amherst Town,Amherst
Andover,Andover
Aquinnah,Aquinnah
Arlington,Arlington
Ashburnham,Ashburnham
Ashby,Ashby
Ashfield,Ashfield
Ashland,Ashland
Athol,Athol
Attleboro,Attleboro
Auburn,Auburn
Avon,Avon
Ayer,Ayer
Templeton,Baldwinville
Barnstable Town,Barnstable
Barre,Barre
Becket,Becket
Bedford,Bedford
Belchertown,Belchertown
Bellingham,Bellingham
Belmont,Belmont
Berkley,Berkley
Berlin,Berlin
Bernardston,Bernardston
Beverly,Beverly
Billerica,Billerica
Blackstone,Blackstone
Blandford,Blandford
Bolton,Bolton
Boston,Boston
Bourne,Bourne
Boxborough,Boxboro
Boxford,Boxford
Boylston,Boylston
Braintree Town,Braintree
Brewster,Brewster
Bridgewater Town,Bridgewater
Brimfield,Brimfield
Brockton,Brockton
Brookfield,Brookfield
Brookline,Brookline
Buckland,Buckland
Burlington,Burlington
Cambridge,Cambridge
Canton,Canton
Carlisle,Carlisle
Carver,Carver
Charlemont,Charlemont
Charlton,Charlton
Chatham,Chatham
Chelmsford,Chelmsford
Chelsea,Chelsea
Cheshire,Cheshire
Chester,Chester
Chesterfield,Chesterfield
Chicopee,Chicopee
Chilmark,Chilmark
Clarksburg,Clarksburg
Clinton,Clinton
Cohasset,Cohasset
Colrain,Colrain
Concord,Concord
Conway,Conway
Cummington,Cummington
Dalton,Dalton
Danvers,Danvers
Dartmouth,Dartmouth
Dedham,Dedham
Deerfield,Deerfield
Dennis,Dennis
Harvard,Devens
Dighton,Dighton
Douglas,Douglas
Dover,Dover
Dracut,Dracut
Dudley,Dudley
Dunstable,Dunstable
Duxbury,Duxbury
East Bridgewater,East Bridgewater
East Brookfield,East Brookfield
East Longmeadow,East Longmeadow
Sandwich,East Sandwich
Eastham,Eastham
Easthampton Town,Easthampton
Easton,Easton
Edgartown,Edgartown
Egremont,Egremont
Erving,Erving
Essex,Essex
Everett,Everett
Fairhaven,Fairhaven
Fall River,Fall River
Falmouth,Falmouth
Fitchburg,Fitchburg
Florida,Florida
Foxborough,Foxborough
Framingham,Framingham
Franklin Town,Franklin
Freetown,Freetown
Gardner,Gardner
Georgetown,Georgetown
Gill,Gill
Gloucester,Gloucester
Goshen,Goshen
Grafton,Grafton
Granby,Granby
Granville,Granville
Great Barrington,Great Barrington
Greenfield,Greenfield
Groton,Groton
Groveland,Groveland
Hadley,Hadley
Halifax,Halifax
Hamilton,Hamilton
Hampden,Hampden
Hancock,Hancock
Hanover,Hanover
Hanson,Hanson
Hardwick,Hardwick
Harwich,Harwich
Hatfield,Hatfield
Haverhill,Haverhill
Heath,Heath
Hingham,Hingham
