Date,Category,Net worth,Assets,Real estate,Consumer durables,Corporate equities and mutual fund shares,Pension entitlements,Private businesses,Other assets,Liabilities,Home mortgages,Consumer credit,Other liabilities
1989:Q3,Bottom50,757048,1716613,814733,357207,20860,212009,45290,266514,959566,590662,338280,30624
1989:Q4,Bottom50,793370,1738627,815919,370848,22671,216116,45809,267263,945257,567843,347507,29907
1990:Q1,Bottom50,761994,1760500,821887,387771,18143,216013,48307,268380,998505,618957,350085,29463
1990:Q2,Bottom50,779639,1780688,817675,400448,17915,220794,51360,272496,1001049,614546,357782,28721
1990:Q3,Bottom50,769718,1807088,853677,403056,7158,215564,55051,272582,1037369,649424,360532,27413
1990:Q4,Bottom50,764157,1799940,833641,412663,13796,214723,53059,272058,1035783,639056,370031,26696
1991:Q1,Bottom50,857241,1858070,865943,429511,24709,216336,48568,273003,1000829,598544,376066,26219
1991:Q2,Bottom50,889452,1907921,899065,433059,22804,222316,51185,279491,1018469,612898,380561,25011
1991:Q3,Bottom50,877699,1945222,913777,439245,26937,230404,51872,282988,1067523,656288,386364,24872
1991:Q4,Bottom50,953615,2047058,989906,444797,41985,232785,48849,288737,1093444,673615,395076,24753
1992:Q1,Bottom50,952213,2068950,1000674,448321,39669,229965,49854,300467,1116737,697058,395147,24532
1992:Q2,Bottom50,940656,2074239,984441,457346,38489,236418,51542,306002,1133583,709157,399926,24500
1992:Q3,Bottom50,999370,2171739,1058209,462427,42684,246059,50427,311933,1172370,742359,406663,23348
1992:Q4,Bottom50,957341,2192455,1066755,470509,53951,236541,49903,314796,1235114,784654,423161,27299
1993:Q1,Bottom50,974220,2174130,1025656,478031,55373,243953,50696,320421,1199910,734806,433297,31807
1993:Q2,Bottom50,971715,2233625,1069360,489297,55600,245627,50760,322982,1261910,779992,446611,35307
1993:Q3,Bottom50,982231,2297422,1109672,500686,59077,250526,50686,326775,1315191,813791,462237,39163
1993:Q4,Bottom50,994145,2349853,1136856,518008,63637,251645,49354,330352,1355708,831134,481494,43080
1994:Q1,Bottom50,1037609,2366310,1139942,527646,55082,256296,51548,335797,1328701,789865,491634,47202
1994:Q2,Bottom50,1031843,2413294,1153729,542436,47765,271768,56066,341530,1381451,820292,509405,51755
1994:Q3,Bottom50,1004212,2467030,1173621,559050,46947,283400,57690,346322,1462818,877611,529193,56015
1994:Q4,Bottom50,931339,2468261,1152832,569261,41723,289622,61241,353581,1536922,924775,550824,61323
1995:Q1,Bottom50,969307,2543732,1178668,589082,45999,309633,62410,357939,1574425,941327,566785,66312
1995:Q2,Bottom50,1034117,2703108,1308311,597886,53065,321768,61475,360604,1668991,1009219,587709,72063
1995:Q3,Bottom50,1063317,2838379,1415260,605709,63241,332558,59809,361802,1775063,1086060,610298,78704
1995:Q4,Bottom50,1143393,2862191,1421598,606941,69926,341239,60981,361507,1718799,1019572,624475,74751
1996:Q1,Bottom50,1230965,2893107,1441301,613963,72462,345371,62064,357946,1662142,965546,629436,67161
1996:Q2,Bottom50,1195822,2867475,1410260,608831,73648,349762,65334,359640,1671653,966832,640881,63940
1996:Q3,Bottom50,1175576,2856483,1392974,609688,69434,356269,69209,358908,1680907,969162,651929,59816
1996:Q4,Bottom50,1238912,2882827,1384156,613724,74816,375145,71584,363402,1643915,923310,666908,53698
1997:Q1,Bottom50,1271746,2897960,1392411,617565,69798,378528,74762,364896,1626215,904388,670294,51533
1997:Q2,Bottom50,1303435,2959140,1403448,617115,93456,395974,76540,372606,1655705,920716,686604,48384
1997:Q3,Bottom50,1339631,3042372,1454950,619509,107864,408152,78913,372984,1702742,961794,700014,40934
1997:Q4,Bottom50,1363037,3059799,1464905,625508,104789,407495,82046,375056,1696762,943349,713764,39648
